PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
26,2,'185353,15980,R-Bulkley R Up,H-Toboggan Creek H,S-Bulkley R Up,2003,236,M-bcnchw
26,2,'185354,15897,R-Bulkley R Up,H-Toboggan Creek H,S-Bulkley R Up,2003,236,M-bcnchw
26,2,'185366,10892,R-Zolzap Cr,NA,S-Zolzap Cr,2017,236,M-bcnchw
26,2,'185367,2271,R-Zolzap Cr,NA,S-Zolzap Cr,2016,236,M-bcnchw
26,2,'185368,5865,R-Zolzap Cr,NA,S-Zolzap Cr,2017,236,M-bcnchw
25,2,'185438,13589,R-Saloompt R,H-Snootli Creek H,S-Saloompt R,2007,234,M-bccnhw
26,2,'185451,31060,R-Toboggan Cr,H-Toboggan Creek H,S-Toboggan Cr,2003,236,M-bcnchw
18,2,'185511,38940,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2002,210,M-gsvcih
23,2,'185518,42530,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2002,230,M-frsuph
22,2,'185520,35923,R-Chilliwack R,H-Chilliwack River H,S-Chilliwack R,2002,226,M-frslwh
22,2,'185523,39595,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2002,226,M-frslwh
18,2,'185524,42651,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2003,210,M-gsvcih
22,2,'185525,39986,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2003,226,M-frslwh
25,2,'185541,23389,R-Kitimat R,H-Kitimat River H,S-Kitimat R,2002,234,M-bccnhw
25,2,'185542,23389,R-Kitimat R,H-Kitimat River H,S-Kitimat R,2002,234,M-bccnhw
25,2,'185545,1919,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2003,234,M-bccnhw
25,2,'185546,1621,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2003,234,M-bccnhw
25,2,'185547,2550,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2003,234,M-bccnhw
25,2,'185549,5165,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2003,234,M-bccnhw
25,2,'185550,2557,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2003,234,M-bccnhw
25,2,'185551,12023,R-McLoughlin Bay,H-McLaughlin Creek H,S-McLoughlin Bay Cr,2002,234,M-bccnhw
25,2,'185552,9985,R-Snootli Cr,H-Snootli Creek H,S-Snootli Cr,2005,234,M-bccnhw
25,2,'185553,10595,R-Johnston Est,H-Johnston Estuary Seapen,S-Johnston Cr,2007,234,M-bccnhw
26,2,'185625,5907,R-Toboggan Cr,H-Toboggan Creek H,S-Toboggan Cr,2007,236,M-bcnchw
19,4,'185630,10784,R-Keogh R,NA,S-Keogh R,2009,216,M-jnstrw
19,4,'185631,11102,R-Keogh R,NA,S-Keogh R,2009,216,M-jnstrw
19,4,'185632,10818,R-Keogh R,NA,S-Keogh R,2009,216,M-jnstrw
19,4,'185633,11412,R-Keogh R,NA,S-Keogh R,2009,216,M-jnstrw
26,2,'185636,7908,R-Deena Cr,NA,S-Deena Cr,2002,236,M-bcnchw
26,2,'185637,12083,R-Deena Cr,NA,S-Deena Cr,2003,236,M-bcnchw
26,2,'185638,8692,R-Deena Cr,NA,S-Deena Cr,2003,236,M-bcnchw
20,2,'185646,20173,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,2007,218,M-swvcih
20,2,'185647,20208,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,2007,218,M-swvcih
23,2,'185672,8556,R-Salmon R/TOMF,H-Spius Creek H,S-Salmon R/TOMF,2017,230,M-frsuph
20,2,'185680,20747,R-Stamp R,H-Robertson Creek H,S-Robertson Cr,2017,218,M-swvcih
20,2,'185681,20277,R-Stamp R,H-Robertson Creek H,S-Robertson Cr,2017,218,M-swvcih
18,2,'185682,19253,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2017,210,M-gsvcih
18,2,'185683,19362,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2017,210,M-gsvcih
18,2,'185698,24461,R-Comox Lk,H-Puntledge River H,S-Puntledge R,2017,210,M-gsvcih
18,2,'185699,24623,R-Comox Lk,H-Puntledge River H,S-Puntledge R,2017,210,M-gsvcih
26,2,'185709,28442,R-Toboggan Cr,H-Toboggan Creek H,S-Toboggan Cr,2007,236,M-bcnchw
18,2,'185719,42493,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2004,210,M-gsvcih
23,2,'185734,42233,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2004,230,M-frsuph
25,2,'185759,21990,R-Johnston Est,H-Johnston Estuary Seapen,S-Johnston Cr,2008,234,M-bccnhw
19,4,'185773,38996,R-Keogh R,NA,S-Keogh R,2016,216,M-jnstrw
18,2,'185774,32237,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2017,210,M-gsvcih
18,2,'185775,32693,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2017,210,M-gsvcih
18,2,'185842,9929,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2005,210,M-gsvcih
18,2,'185843,11600,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2005,210,M-gsvcih
18,2,'185845,11492,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2005,210,M-gsvcih
18,2,'185851,10994,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2006,210,M-gsvcih
18,2,'185852,11030,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2006,210,M-gsvcih
18,2,'185853,11187,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2006,210,M-gsvcih
18,2,'185856,10203,R-Goldstream R,H-Goldstream River H,S-Goldstream R,2006,210,M-gsvcih
18,2,'185857,7900,R-Goldstream R,H-Goldstream River H,S-Goldstream R,2006,210,M-gsvcih
18,2,'185871,49338,R-Comox Lk,H-Puntledge River H,S-Puntledge R,2017,210,M-gsvcih
18,2,'185872,49366,R-Comox Lk,H-Puntledge River H,S-Puntledge R,2017,210,M-gsvcih
18,2,'185873,48826,R-Comox Lk,H-Puntledge River H,S-Puntledge R,2017,210,M-gsvcih
18,2,'185901,11059,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2006,210,M-gsvcih
22,2,'185909,21050,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2005,226,M-frslwh
18,2,'185918,22332,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2006,210,M-gsvcih
23,2,'185921,44270,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2005,230,M-frsuph
22,2,'185922,39035,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2005,226,M-frslwh
23,2,'185924,43686,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2006,230,M-frsuph
22,2,'185930,40117,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2006,226,M-frslwh
18,2,'185934,40467,R-Horne Lk,H-Big Qualicum River H,S-Big Qualicum R,2007,210,M-gsvcih
18,2,'185944,11427,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2005,210,M-gsvcih
19,4,'185945,11139,R-Keogh R,NA,S-Keogh R,2014,216,M-jnstrw
19,4,'185946,285,R-Keogh R,NA,S-Keogh R,2015,216,M-jnstrw
23,2,'185990,27934,R-Salmon R/TOMF,H-Spius Creek H,S-Salmon R/TOMF,2017,230,M-frsuph
19,4,'186001,9737,R-Keogh R,NA,S-Keogh R,2006,216,M-jnstrw
26,2,'186003,5949,R-Deena Cr,NA,S-Deena Cr,2004,236,M-bcnchw
26,2,'186004,5540,R-Deena Cr,NA,S-Deena Cr,2006,236,M-bcnchw
26,2,'186007,5823,R-Deena Cr,NA,S-Deena Cr,2007,236,M-bcnchw
26,2,'186008,432,R-Deena Cr,NA,S-Deena Cr,2007,236,M-bcnchw
26,2,'186009,5733,R-Deena Cr,NA,S-Deena Cr,2007,236,M-bcnchw
26,2,'186010,5623,R-West Arm Cr (Drake Cr),NA,S-West Arm Cr (Drake Cr),2006,236,M-bcnchw
26,2,'186011,1754,R-West Arm Cr (Drake Cr),NA,S-West Arm Cr (Drake Cr),2006,236,M-bcnchw
26,2,'186012,3057,R-West Arm Cr (Drake Cr),NA,S-West Arm Cr (Drake Cr),2006,236,M-bcnchw
26,2,'186013,11771,R-Deena Cr,NA,S-Deena Cr,2004,236,M-bcnchw
26,2,'186017,7863,R-Deena Cr,NA,S-Deena Cr,2005,236,M-bcnchw
26,2,'186019,5739,R-Deena Cr,NA,S-Deena Cr,2006,236,M-bcnchw
26,2,'186020,11569,R-Deena Cr,NA,S-Deena Cr,2007,236,M-bcnchw
26,2,'186023,4689,R-Kitwanga R,NA,S-Kitwanga R,2012,236,M-bcnchw
25,2,'186033,28963,R-Snootli Cr,H-Snootli Creek H,S-Snootli Cr,2008,234,M-bccnhw
18,2,'186049,11358,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2006,210,M-gsvcih
18,2,'186050,11314,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2006,210,M-gsvcih
19,4,'186063,10597,R-Keogh R,NA,S-Keogh R,2006,216,M-jnstrw
23,2,'186080,16925,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2017,230,M-frsuph
26,2,'186089,11606,R-Zolzap Cr,NA,S-Zolzap Cr,2017,236,M-bcnchw
26,2,'186091,5665,R-Zolzap Cr,NA,S-Zolzap Cr,2017,236,M-bcnchw
